,PROP_TYPE_EN,AREA_EN,ACTUAL_AREA,count_total,sum_total,mean_total,count_sale,sum_sale,mean_sale,SSI
0,Building,AL FURJAN,172.36,2,6300000.0,3150000.0,1,3500000.0,3500000.0,0.5
1,Building,AL FURJAN,221.9,1,3400000.0,3400000.0,1,3400000.0,3400000.0,1.0
2,Building,ARABIAN RANCHES I,334.84,2,8158920.0,4079460.0,1,4415000.0,4415000.0,0.5
3,Building,ARABIAN RANCHES I,336.34,2,8100000.0,4050000.0,1,4500000.0,4500000.0,0.5
4,Building,ARABIAN RANCHES III,120.29,1,1959888.0,1959888.0,1,1959888.0,1959888.0,1.0
5,Building,ARABIAN RANCHES III,138.64,1,2850000.0,2850000.0,1,2850000.0,2850000.0,1.0
6,Building,Al Yelayiss 2,172.63,1,2400000.0,2400000.0,1,2400000.0,2400000.0,1.0
7,Building,Al Yufrah 1,255.52,1,2850000.0,2850000.0,1,2850000.0,2850000.0,1.0
8,Building,Al Yufrah 1,302.56,1,3775000.0,3775000.0,1,3775000.0,3775000.0,1.0
9,Building,EMIRATE LIVING,258.65,1,3000000.0,3000000.0,1,3000000.0,3000000.0,1.0
10,Building,EMIRATE LIVING,305.65,1,3200000.0,3200000.0,1,3200000.0,3200000.0,1.0
11,Building,EMIRATE LIVING,429.82,2,7678304.95,3839152.475,1,5300000.0,5300000.0,0.5
12,Building,JUMEIRAH VILLAGE CIRCLE,123.6,1,2950000.0,2950000.0,1,2950000.0,2950000.0,1.0
13,Building,JUMEIRAH VILLAGE CIRCLE,130.25,1,2673000.0,2673000.0,1,2673000.0,2673000.0,1.0
14,Building,JUMEIRAH VILLAGE CIRCLE,144.74,1,3750819.0,3750819.0,1,3750819.0,3750819.0,1.0
15,Building,JUMEIRAH VILLAGE CIRCLE,239.27,1,4019819.0,4019819.0,1,4019819.0,4019819.0,1.0
16,Building,MIRA,284.85,2,5454400.0,2727200.0,1,3000000.0,3000000.0,0.5
17,Building,MIRA,347.4,1,2850000.0,2850000.0,1,2850000.0,2850000.0,1.0
18,Building,MIRA,359.44,2,6098400.0,3049200.0,1,3300000.0,3300000.0,0.5
19,Building,THE FIELD,187.2,2,5726000.0,2863000.0,1,3500000.0,3500000.0,0.5
20,Building,THE FIELD,286.77,1,4750000.0,4750000.0,1,4750000.0,4750000.0,1.0
21,Building,TOWN SQUARE,205.74,2,4670000.0,2335000.0,1,2550000.0,2550000.0,0.5
22,Building,VILLANOVA,170.04,2,3859600.0,1929800.0,1,2100000.0,2100000.0,0.5
23,Building,Wadi Al Safa 5,144.85,1,2425000.0,2425000.0,1,2425000.0,2425000.0,1.0
24,Building,Wadi Al Safa 5,301.81,1,4800000.0,4800000.0,1,4800000.0,4800000.0,1.0
25,Land,ARABIAN RANCHES I,722.51,2,12480000.0,6240000.0,1,7800000.0,7800000.0,0.5
26,Land,ARABIAN RANCHES II,432.01,1,3654888.0,3654888.0,1,3654888.0,3654888.0,1.0
27,Land,Al Bada,340.02,1,2300000.0,2300000.0,1,2300000.0,2300000.0,1.0
28,Land,Al Goze Industrial Third,3751.33,1,20000000.0,20000000.0,1,20000000.0,20000000.0,1.0
29,Land,Al Hebiah Fifth,144.0,3,7228600.0,2409533.3333333335,3,7228600.0,2409533.3333333335,1.0
30,Land,Al Hebiah Fifth,144.03,1,2140000.0,2140000.0,1,2140000.0,2140000.0,1.0
31,Land,Al Hebiah Fifth,144.09,1,2200000.0,2200000.0,1,2200000.0,2200000.0,1.0
32,Land,Al Hebiah Fifth,233.16,1,2990000.0,2990000.0,1,2990000.0,2990000.0,1.0
33,Land,Al Hebiah Fifth,250.8,1,3500000.0,3500000.0,1,3500000.0,3500000.0,1.0
34,Land,Al Hebiah Fourth,1305.27,1,36000000.0,36000000.0,1,36000000.0,36000000.0,1.0
35,Land,Al Hebiah Third,696.1,1,19396000.0,19396000.0,1,19396000.0,19396000.0,1.0
36,Land,Al Merkadh,621.8,1,8700926.0,8700926.0,1,8700926.0,8700926.0,1.0
37,Land,DAMAC HILLS,253.0,2,5888899.0,2944449.5,1,3300000.0,3300000.0,0.5
38,Land,DAMAC HILLS,502.33,2,8570000.0,4285000.0,1,5850000.0,5850000.0,0.5
39,Land,DUBAI SOUTH,3037.96,1,9138271.0,9138271.0,1,9138271.0,9138271.0,1.0
40,Land,DUBAI SPORTS CITY,269.52,2,4169400.0,2084700.0,1,3067000.0,3067000.0,0.5
41,Land,DUBAI SPORTS CITY,303.17,2,6450000.0,3225000.0,1,3850000.0,3850000.0,0.5
42,Land,Hor Al Anz,346.06,1,6500000.0,6500000.0,1,6500000.0,6500000.0,1.0
43,Land,JABEL ALI HILLS,921.55,1,2579064.8,2579064.8,1,2579064.8,2579064.8,1.0
44,Land,JABEL ALI HILLS,966.0,1,2391526.0,2391526.0,1,2391526.0,2391526.0,1.0
45,Land,JUMEIRAH GOLF,137.6,2,5458280.0,2729140.0,1,2970000.0,2970000.0,0.5
46,Land,JUMEIRAH GOLF,757.68,1,13800000.0,13800000.0,1,13800000.0,13800000.0,1.0
47,Land,JUMEIRAH PARK,556.2,2,12294000.0,6147000.0,1,7100000.0,7100000.0,0.5
48,Land,JUMEIRAH VILLAGE CIRCLE,180.0,2,2777394.8,1388697.4,1,1495394.8,1495394.8,0.5
49,Land,JUMEIRAH VILLAGE CIRCLE,2640.2,1,24400000.0,24400000.0,1,24400000.0,24400000.0,1.0
50,Land,Jabal Ali First,17396.68,1,35400000.0,35400000.0,1,35400000.0,35400000.0,1.0
51,Land,Jumeirah First,1601.64,1,17000000.0,17000000.0,1,17000000.0,17000000.0,1.0
52,Land,MUDON,187.2,2,5850000.0,2925000.0,1,3250000.0,3250000.0,0.5
53,Land,MUDON,297.5,2,7715400.0,3857700.0,1,4175000.0,4175000.0,0.5
54,Land,Madinat Al Mataar,726.81,1,3350000.0,3350000.0,1,3350000.0,3350000.0,1.0
55,Land,Madinat Al Mataar,5272.4,1,49578750.0,49578750.0,1,49578750.0,49578750.0,1.0
56,Land,Madinat Hind 4,112.24,2,2125200.0,1062600.0,1,1150000.0,1150000.0,0.5
57,Land,Madinat Hind 4,118.34,1,1300000.0,1300000.0,1,1300000.0,1300000.0,1.0
58,Land,Madinat Hind 4,151.8,2,3132360.0,1566180.0,1,1695000.0,1695000.0,0.5
59,Land,Madinat Hind 4,174.8,6,9227800.0,1537966.6666666667,3,5025000.0,1675000.0,0.5
60,Land,Madinat Hind 4,174.81,2,2970000.0,1485000.0,1,1670000.0,1670000.0,0.5
61,Land,Madinat Hind 4,180.26,2,3330000.0,1665000.0,1,1850000.0,1850000.0,0.5
62,Land,Madinat Hind 4,185.39,2,2919840.0,1459920.0,1,1580000.0,1580000.0,0.5
63,Land,NAD AL SHEBA GARDENS,930.26,1,10500000.0,10500000.0,1,10500000.0,10500000.0,1.0
64,Land,Nad Al Shiba First,669.62,1,18232000.0,18232000.0,1,18232000.0,18232000.0,1.0
65,Land,POLO TOWNHOUSES IGO,235.22,2,5940000.0,2970000.0,1,4440000.0,4440000.0,0.5
66,Land,Palm Deira,2671.43,1,2500000.0,2500000.0,1,2500000.0,2500000.0,1.0
67,Land,THE GREENS,5541.01,1,227941176.0,227941176.0,1,227941176.0,227941176.0,1.0
68,Unit,AL BARARI,176.16,1,3500000.0,3500000.0,1,3500000.0,3500000.0,1.0
69,Unit,AL FURJAN,36.29,1,437270.0,437270.0,1,437270.0,437270.0,1.0
70,Unit,AL FURJAN,37.33,1,610000.0,610000.0,1,610000.0,610000.0,1.0
71,Unit,AL FURJAN,37.94,1,510000.0,510000.0,1,510000.0,510000.0,1.0
72,Unit,AL FURJAN,72.31,2,1276080.0,638040.0,1,780000.0,780000.0,0.5
